Label,Disease Name,Crop Name,Solution
Apple___Apple_scab,Apple scab,Apple,Use fungicides like sulfur or lime-sulfur; remove and destroy fallen leaves.
Apple___Black_rot,Black rot,Apple,Prune infected branches; use fungicides like thiophanate-methyl.
Apple___Cedar_apple_rust,Cedar apple rust,Apple,Remove nearby junipers; apply sulfur or copper fungicides.
Apple___healthy,Healthy,Apple,No action needed; maintain good practices.
Cherry_(including_sour)___healthy,Healthy,Cherry (including sour),No action needed; maintain good practices.
Cherry_(including_sour)___Powdery_mildew,Powdery mildew,Cherry (including sour),Apply fungicides like sulfur or potassium bicarbonate; improve air circulation.
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,Cercospora leaf spot / Gray leaf spot,Corn (maize),Use resistant varieties; apply fungicides like azoxystrobin.
Corn_(maize)___Common_rust_,Common rust,Corn (maize),Plant resistant hybrids; apply fungicides like azoxystrobin.
Corn_(maize)___healthy,Healthy,Corn (maize),No action needed; maintain good practices.
Corn_(maize)___Northern_Leaf_Blight,Northern Leaf Blight,Corn (maize),Plant resistant varieties; use fungicides like chlorothalonil.
Grape___Black_rot,Black rot,Grape,Prune infected material; apply fungicides like mancozeb.
Grape___Esca_(Black_Measles),Esca (Black Measles),Grape,Reduce stress on vines; remove diseased wood during pruning.
Grape___healthy,Healthy,Grape,No action needed; maintain good practices.
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),Leaf blight (Isariopsis Leaf Spot),Grape,Use fungicides like mancozeb; prune and destroy infected leaves.
Peach___Bacterial_spot,Bacterial spot,Peach,Apply copper-based sprays; plant resistant cultivars.
Peach___healthy,Healthy,Peach,No action needed; maintain good practices.
"Pepper,_bell___Bacterial_spot",Bacterial spot,Bell pepper,Apply copper-based sprays; avoid working in wet fields.
"Pepper,_bell___healthy",Healthy,Bell pepper,No action needed; maintain good practices.
Potato___Early_blight,Early blight,Potato,Use fungicides like chlorothalonil; remove infected plant debris.
Potato___healthy,Healthy,Potato,No action needed; maintain good practices.
Potato___Late_blight,Late blight,Potato,Apply fungicides like mancozeb; practice crop rotation.
Strawberry___healthy,Healthy,Strawberry,No action needed; maintain good practices.
Strawberry___Leaf_scorch,Leaf scorch,Strawberry,Use resistant varieties; avoid overhead watering.
Tomato___Bacterial_spot,Bacterial spot,Tomato,Apply copper-based sprays; avoid working in wet fields.
Tomato___Early_blight,Early blight,Tomato,Use fungicides like chlorothalonil; remove infected plant debris.
Tomato___healthy,Healthy,Tomato,No action needed; maintain good practices.
Tomato___Late_blight,Late blight,Tomato,Apply fungicides like mancozeb; practice crop rotation.
Tomato___Leaf_Mold,Leaf Mold,Tomato,Improve air circulation; apply fungicides like chlorothalonil.
Tomato___Septoria_leaf_spot,Septoria leaf spot,Tomato,Apply fungicides like copper-based sprays; remove lower leaves.
Tomato___Spider_mites Two-spotted_spider_mite,Spider mites,Tomato,Use insecticidal soap or neem oil; ensure proper irrigation.
Tomato___Target_Spot,Target Spot,Tomato,Use fungicides like chlorothalonil; rotate crops.
Tomato___Tomato_mosaic_virus,Tomato mosaic virus,Tomato,Remove infected plants; sterilize tools.
Tomato___Tomato_Yellow_Leaf_Curl_Virus,Tomato Yellow Leaf Curl Virus,Tomato,Control whiteflies; use resistant varieties.
